repo_id,repo_name,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
1,abnffuzzer,81,39,0,0,0,0,0,0
2,abstools,1197,500,1,0,1,167,0,0
3,AisLib,452,377,0,2,0,0,0,81
4,alchemy,205,140,0,0,3,4,0,0
5,Alchitry-Labs,694,201,17,0,30,195,0,0
6,Algogo,312,172,0,1,0,0,0,33
7,aliyun-odps-console,393,256,0,0,0,0,0,0
8,alliance,921,527,0,0,25,22,0,0
9,Alpha,283,217,0,1,0,0,0,44
10,ameba,301,241,1,0,1,6,0,0
11,Android-Orma,375,257,2,0,3,10,0,3
12,ankor-framework,5263,418,0,0,0,0,0,0
13,ANNIS,1455,415,1,0,18,1,0,0
14,antlr4,1129,493,0,0,12,11,0,6
15,antlr4-calculator,72,1,0,0,0,0,0,0
16,antlr4cs,1601,494,0,0,11,10,0,6
17,antlr4example,125,1,0,0,0,0,0,0
18,antlr4-grammar-postgresql,229,3,0,0,0,0,0,0
19,antlr4ide,531,79,0,0,0,0,0,0
20,antlr4-intellij-adaptor,68,27,0,0,1,1,0,1
21,antlr4-python,64,0,0,0,0,0,0,0
22,antlr4-sandbox,118,11,1,1,1,0,0,3
23,ANTLR4-SqlBase,61,4,0,1,0,0,0,0
24,antlr-denter,59,11,0,1,0,0,0,2
25,antlr-java-parser,287,248,1,0,0,1,0,0
26,AntlrListenerVisitorComparison,97,8,3,3,3,0,0,3
27,ANTLR_MPS,151,23,0,1,0,0,0,27
28,antlr-plus,69,27,0,0,0,0,0,0
29,antlr-sqlparser,76,32,2,0,10,28,0,0
30,ANTLR-Swift-Target,58,17,0,0,0,0,0,0
31,antlr-tutorial,99,5,0,0,0,4,0,0
32,antlrworks2,673,463,14,4,6,22,0,39
33,antsdb,1042,972,0,0,0,0,0,0
34,apex-malhar,2523,2024,1,0,0,13,0,9
35,apidoc4j,80,41,1,6,1,0,0,12
36,Apktool-android,421,267,0,5,0,0,0,106
37,APM,444,203,0,0,0,0,0,0
38,apollo-android,954,346,0,0,0,0,0,0
39,apt,1053,692,14,0,11,46,0,4
40,archie,778,397,1,0,9,2,0,0
41,arcusplatform,6737,4362,2,0,56,31,0,1
42,Arend,556,517,0,1,0,0,0,644
43,arma-dialog-creator,931,540,0,0,0,0,0,0
44,ARTIST,14259,4706,0,0,0,4,0,0
45,asciidoc-grammar-prototype,117,2,0,0,0,0,0,0
46,ast,286,10,0,0,0,0,0,0
47,ASTGenerator,40,6,0,0,0,0,0,0
48,athena,7889,5435,0,0,63,31,0,4
49,atlas,2146,840,0,1,0,0,0,7
50,atomic,1058,112,1,0,8,0,0,0
51,babyfish,1689,1364,0,1,1,0,0,495
52,bacter,165,87,0,0,0,0,0,2
53,badger,216,179,0,0,0,0,0,0
54,ballerina-lang,11818,4264,3,0,78,223,0,19
55,Bats,4037,3916,0,7,0,1,0,1100
56,beakerx,2344,1146,0,0,0,15,0,1
57,beam,6725,4103,0,2,41,0,0,66
58,beast2,1034,496,0,1,0,0,0,2
59,beetl2.0,697,387,0,0,0,0,0,0
60,bigbash,103,57,3,0,10,3,0,0
61,BigDataScript,1113,489,0,0,0,0,0,0
62,bigdata-sql-parser,92,20,1,0,0,2,0,0
63,bioLQM,301,227,6,0,0,24,0,0
64,blaze-persistence,4160,3703,0,1,0,0,0,91
65,bookish,258,198,4,2,26,0,0,94
66,botsing,277,184,1,0,10,3,0,0
67,buildpal-platform,152,102,0,1,0,0,0,13
68,bvr,2733,1259,0,0,0,0,0,1
69,Cafecito,703,11,0,0,0,0,0,0
70,castlemock,1367,1037,0,0,0,0,0,0
71,cava,588,410,0,9,0,0,0,41
72,ceng444,184,10,0,1,0,0,0,0
73,cfparser,853,273,0,2,1,1,0,89
74,checkstyle,2870,2151,0,0,0,0,0,146
75,chronix.server,301,121,0,0,0,0,0,0
76,citeproc-java,336,151,0,0,0,0,0,0
77,claw-compiler,886,162,0,0,0,0,0,0
78,cliffguard,245,157,3,0,30,19,0,27
79,clinical_quality_language,1247,179,0,5,0,0,0,287
80,clone_repo_log.log,0,0,0,0,0,0,0,0
81,clone_repositories.sh,0,0,0,0,0,0,0,0
82,clouditor,412,163,0,4,0,0,0,11
83,cloudml,617,440,0,2,0,0,0,35
84,cointrader,368,264,2,0,0,9,0,0
85,compiler2016,343,115,1,0,0,41,0,0
86,compiler2017,341,124,1,0,0,41,0,1
87,components,4514,2434,1,0,2,0,0,2
88,contact,146,101,2,0,0,37,0,0
89,COOL-Compiler,119,32,0,0,0,0,0,0
90,CopperKitten,172,8,0,0,0,0,0,0
91,cqengine,1629,379,2,0,0,9,0,0
92,CQL,762,558,0,0,0,0,0,21
93,crate,4958,4467,1,2,0,5,0,974
94,credentials-plugin,506,129,1,0,0,7,0,1
95,CrossMobile,3961,1356,5,0,5,13,0,0
96,cs652,355,125,12,3,30,10,0,10
97,cst,269,154,1,0,1,0,0,0
98,cti-stix2-json-schemas,91,0,0,0,0,0,0,0
99,Cubert,340,294,1,0,11,51,0,20
100,cytosm,275,193,0,6,0,0,0,90
101,dapeng-soa,699,492,0,0,0,0,0,0
102,datacollector,8017,4688,1,0,7,3,0,6
103,DataFrame,194,155,0,5,0,0,0,6
104,datasphere-service,1423,1371,0,35,0,0,0,48
105,debezium,862,600,16,0,41,19,0,6
106,depends,484,265,4,1,28,13,0,23
107,development,8864,4758,0,0,0,0,0,12
108,dex2jar,428,328,0,0,0,0,0,271
109,dhis2-core,6746,3485,1,1,1,0,0,0
110,diqube,1013,731,0,7,0,0,0,20
111,directory-scimple,258,182,3,0,28,40,0,6
112,disthene-reader,211,163,0,1,0,0,0,2
113,dlnatoad,90,58,1,0,1,3,0,0
114,doop-mirror,878,145,0,0,0,0,0,0
115,doov,1943,538,1,0,1,0,0,3
116,DotNetCore-for-NetBeans,127,63,0,0,0,0,0,0
117,drill,5367,3832,0,8,0,0,0,869
118,drools,8370,6237,0,1,2,2,0,78
119,dst,230,166,1,0,34,0,0,0
120,eagle,2702,1800,0,0,0,0,0,0
121,Eagle,1199,684,0,0,0,0,0,0
122,ebean,3163,2919,1,0,19,5,0,33
123,ecmascript-parser,36,6,0,0,1,0,0,0
124,ehrbase,1873,530,2,1,4,16,0,5
125,elassandra,8802,5608,0,1,0,0,0,99
126,elasticsearch,17468,12266,1,2,0,4,0,175
127,elasticsearch-jdbc,163,116,0,0,0,0,0,42
128,elasticsearch-sql,180,121,0,0,0,0,0,0
129,elide,945,629,0,7,0,0,0,50
130,EmojIDE,256,117,0,0,0,0,0,0
131,Enkel,173,115,0,23,0,0,0,58
132,Enkel-JVM-language,168,112,0,23,0,0,0,58
133,eo,139,75,0,0,0,0,0,0
134,er,199,0,0,0,0,0,0,0
135,ethereumj,534,194,0,1,0,0,0,45
136,etp,57,22,1,0,0,17,0,0
137,FastAsyncWorldEdit-1.13,1612,1454,1,1,4,0,0,32
138,FHIR,12340,1367,0,2,0,0,0,85
139,filenames.txt,0,0,0,0,0,0,0,0
140,Final-Fanatic-Facility,185,142,1,0,8,38,0,0
141,fix-orchestra,152,66,0,0,0,0,0,54
142,flair-query-language,71,36,1,0,0,94,0,0
143,flink-cep-dsl,45,16,1,0,18,11,0,0
144,fluentmark,381,228,2,0,2,0,0,0
145,fuzzyc2cpg,245,153,2,0,75,50,0,0
146,Gaalop,1010,673,0,2,0,0,0,178
147,gaia,254,134,0,0,0,0,0,0
148,gdl,58,25,1,0,5,7,0,0
149,GdxStudio,557,279,0,0,0,0,0,0
150,gemfire-fe,1116,828,1,0,0,53,0,0
151,georocket,379,204,2,0,19,14,0,1
152,geotoolkit,10512,8322,0,0,0,0,0,26
153,geowave,3044,2125,0,0,0,0,0,6
154,goworks,979,691,21,5,8,23,0,296
155,graal,10472,7552,0,0,3,8,0,233
156,gramtest,44,5,0,1,0,0,0,13
157,graphicsfuzz,1561,608,0,1,1,1,0,439
158,graphql-gremlin,60,20,1,0,8,4,0,0
159,graphql-java,883,554,0,0,0,0,0,110
160,graql,121,57,0,1,0,0,0,44
161,GRASSMARLIN,723,255,0,0,0,0,0,0
162,graylog2-server,5108,2671,5,0,6,69,0,0
163,graylog-plugin-pipeline-processor,394,233,5,0,6,69,0,0
164,grcuda,92,57,0,0,0,0,0,0
165,greycat,1136,801,0,0,0,0,0,2
166,groovy,4485,1646,0,1,0,0,0,829
167,groovy-eclipse,14729,12307,0,1,192,187,0,1220
168,handlebars.java,540,380,2,2,24,6,0,33
169,hawkular-alerts,542,253,1,0,1,1,0,1
170,hawkular-metrics,421,270,1,0,1,2,0,0
171,heroic,1421,817,1,0,6,43,0,57
172,hibernate-hql-parser,180,116,1,0,2,6,0,0
173,hive,19168,7014,0,1,0,0,0,184
174,hppc,172,114,0,1,0,0,0,11
175,HUSACCT,1566,1023,0,0,0,0,0,1
176,Hydrograph,4435,2332,0,2,0,0,0,6
177,iBioSim,2466,607,1,0,19,11,0,29
178,iec61131-parser,81,1,0,0,0,0,0,0
179,Illarion-Java,1369,992,0,1,5,1,0,28
180,incubator-druid,6078,4540,1,0,1,20,0,0
181,incubator-pinot,4531,2873,1,0,30,30,0,0
182,incubator-tajo,1538,869,0,2,0,0,0,418
183,incubator-tuweni,14864,476,0,9,0,0,0,41
184,indexr,581,497,1,0,54,54,0,2
185,inflectible,210,165,1,0,3,0,0,0
186,ingrid,207,43,1,0,4,0,0,0
187,inmemantlr,130,72,0,0,1,1,0,1
188,intellij-plugin-v4,202,108,0,0,0,0,0,3
189,istio-java-api,179,99,1,0,0,1,0,0
190,j2swift,38,7,1,0,62,62,0,0
191,jabref,11934,1500,0,2,0,0,0,10
192,jai-ext,792,578,1,0,6,77,0,0
193,jannovar,885,679,1,0,0,29,0,0
194,Java2Cpp-Translator,190,46,2,0,203,203,0,3
195,Java-Helps-Java,633,183,0,1,0,0,0,1
196,java-semantic-diff,65,36,0,0,0,0,0,1
197,javersion,346,271,0,0,0,0,0,10
198,jaybird,949,807,0,0,0,0,0,0
199,JBotSim,424,236,0,1,0,0,0,14
200,jdbi,1084,844,0,0,0,0,0,0
201,jd-gui,357,222,1,0,0,0,0,4
202,jdmn,2223,1196,0,0,0,0,0,0
203,jet,75,0,0,0,0,0,0,0
204,jetbrains-plugin-sample,75,29,0,0,0,0,0,0
205,jetbrains-plugin-st4,80,30,0,0,0,0,0,0
206,jetbrick-template-1x,314,135,0,0,0,0,0,61
207,jetbrick-template-2x,242,186,0,0,0,0,0,49
208,jira-plugins-groovy,701,397,2,0,0,9,0,7
209,jkind,530,373,2,1,9,1,0,48
210,jmint,108,55,2,3,12,3,0,7
211,jnosql,1019,867,2,0,3,37,0,0
212,jobson,449,206,0,1,0,0,0,7
213,joern,1469,527,2,0,69,45,0,9
214,jplag,392,180,0,0,60,26,0,35
215,JsDroidMobile,2804,778,0,1,0,0,0,55
216,JSONata4Java,667,138,0,2,0,0,0,37
217,Json-Eclipse-Plugin,225,61,0,7,0,0,0,26
218,JsonSurfer,148,94,0,1,0,0,0,20
219,JsonTemplate,92,62,1,0,15,6,0,0
220,JsoupXpath,101,64,0,1,0,0,0,26
221,jStyleParser,358,247,0,0,0,0,0,46
222,JuliaDT,213,93,0,1,0,0,0,37
223,jvmBASIC,233,107,0,0,0,0,0,0
224,JVM-Math-Language,52,20,1,0,0,5,0,0
225,k3po,2652,767,0,1,0,1,0,113
226,kafka-connect-query-language,61,16,0,0,3,57,0,0
227,kafkasql,98,54,0,0,0,0,0,0
228,kalang,384,251,0,1,0,0,0,168
229,karate,908,463,1,0,4,0,0,0
230,kodokojo,258,189,1,0,0,4,0,0
231,kotlin-parser,78,1,1,0,2,0,0,0
232,kripton,5009,4856,1,0,56,13,0,25
