repo_id,address,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
1,4455jkjh/Apktool-android,421,267,0,5,0,0,0,106
2,52Jolynn/SqlParser,57,17,0,0,0,0,0,0
3,Adrodoc/MPL,440,301,3,0,35,13,11,45
4,AlanHohn/antlr4-python,64,0,0,0,0,0,0,0
5,Andyccs/sqat,170,69,9,0,28,1,1,0
6,Big5-sec/SourceFu,373,87,14,1,1,1,1,2
7,BitwiseInc/Hydrograph,4435,2332,0,2,0,0,0,6
8,Blazebit/blaze-persistence,4160,3703,0,1,0,0,0,91
9,Borisvl/bigbash,103,57,3,0,10,3,1,0
10,CST-Group/cst,269,154,1,0,1,0,0,0
11,CallForSanity/Gaalop,1010,673,0,2,0,0,0,178
12,CampagneLaboratory/ANTLR_MPS,151,23,0,1,0,0,0,27
13,CategoricalData/CQL,762,558,0,0,0,0,0,21
14,Chris2011/DotNetCore-for-NetBeans,127,63,0,0,0,0,0,0
15,ChronixDB/chronix.server,301,121,0,0,0,0,0,0
16,ClemsonRSRG/RESOLVE,917,853,1,0,26,145,26,2
17,CodeKaio/gaia,254,134,0,0,0,0,0,0
18,CodeNeedWho/JsDroidMobile,2804,778,0,1,0,0,0,55
19,Cognifide/APM,444,203,0,0,0,0,0,0
20,Comcast/Oscar,773,184,1,0,8,4,4,0
21,CompEvol/beast2,1034,496,0,1,0,0,0,2
22,ConsenSys/cava,588,410,0,9,0,0,0,41
23,Consoar/Objc2Lua,91,11,1,0,5,141,3,0
24,CvO-Theory/apt,1053,692,14,0,11,46,12,4
25,DJCordhose/antlr4-sandbox,118,11,1,1,1,0,0,3
26,DonnyZone/ANTLR4-SqlBase,61,4,0,1,0,0,0,0
27,EinsamHauer/disthene-reader,211,163,0,1,0,0,0,2
28,EngineHub/WorldEdit,982,848,1,1,4,0,0,31
29,FIXTradingCommunity/fix-orchestra,152,66,0,0,0,0,0,54
30,FTSRG/theta,769,628,0,14,0,0,0,120
31,FirebirdSQL/jaybird,949,807,0,0,0,0,0,0
32,GeertjanWielenga/TypeScript,72,20,0,0,0,0,0,0
33,Geomatys/geotoolkit,10512,8322,0,0,0,0,0,26
34,GluuFederation/oxTrust,1703,646,1,1,1,3,0,4
35,Graylog2/graylog-plugin-pipeline-processor,394,233,5,0,6,69,8,0
36,Graylog2/graylog2-server,5108,2671,5,0,6,69,8,0
37,HSLdevcom/parkandrideAPI,768,309,0,0,0,0,0,10
38,HUSACCT/HUSACCT,1566,1023,0,0,0,0,0,1
39,Hanmourang/Pinot,2255,1340,1,0,27,27,27,0
40,HotelsDotCom/styx,1142,739,0,2,0,0,0,9
41,IBM/FHIR,12340,1367,0,2,0,0,0,85
42,IBM/JSONata4Java,667,138,0,2,0,0,0,37
43,Illarion-eV/Illarion-Java,1369,992,0,1,5,1,0,28
44,Intel-bigdata/SSM,1640,926,0,1,0,0,0,48
45,IntellectualSites/FastAsyncWorldEdit-1.13,1612,1454,1,1,4,0,0,32
46,JabRef/jabref,11934,1500,0,2,0,0,0,10
47,JakubDziworski/AntlrListenerVisitorComparison,97,8,3,3,3,0,0,3
48,JakubDziworski/Enkel-JVM-language,168,112,0,23,0,0,0,58
49,JetBrains/Arend,556,517,0,1,0,0,0,644
50,JuliaComputing/JuliaDT,213,93,0,1,0,0,0,37
51,KROKIteam/KROKI-mockup-tool,1457,746,1,0,0,0,0,0
52,KevinOfNeu/Enkel,173,115,0,23,0,0,0,58
53,Khalian/Modulo7,280,217,0,0,0,0,0,0
